"success","task","trial_type","trial_index","time_elapsed","internal_node_id","participant_age","participant_gender","rt","stimulus","response","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","advice_direction","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","correct_1","rt_1","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","correct_2","rt_2","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response"
"","no_advice_display","html-button-response","294","505338","0.0-93.0-5.0-0.0","24","female","1612","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","295","506145","0.0-93.0-5.0-1.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","296","507172","0.0-93.0-6.0","24","female","1024.0999999940395","Confidence judgment (second response)","","","-1","-1","","","","right","80.25","50","80.25","true","38","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","297","507176","0.0-94.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","1","11","26","262","300","38","right","80.25","true","1595.300000011921","3","yes","left","right","80.25","false","true","1024.0999999940395","","","","","",""
"","fixation","html-keyboard-response","298","507680","0.0-95.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","299","508197","0.0-95.0-1.0","24","female","null","[Dot display: left=262, right=300, diff=38]","null","","-1","-1","262","300","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","300","510407","0.0-95.0-2.0","24","female","2206.399999976158","Confidence judgement (first response)","","","-1","-1","","","","right","84","50","84","true","38","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","301","511673","0.0-95.0-4.0-0.0","24","female","1264","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","302","512481","0.0-95.0-4.0-1.0","24","female","null","[advice: right]","null","","-1","-1","","","","","","","","","","","right","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","303","514324","0.0-95.0-6.0","24","female","1839.4000000059605","Confidence judgment (second response)","","","-1","-1","","","","right","99.5","50","99.5","true","38","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","304","514327","0.0-96.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","1","12","27","262","300","38","right","84","true","2206.399999976158","2","yes","right","right","99.5","true","true","1839.4000000059605","","","","","",""
"","fixation","html-keyboard-response","305","514830","0.0-97.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","306","515341","0.0-97.0-1.0","24","female","null","[Dot display: left=300, right=262, diff=38]","null","","-1","-1","300","262","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","307","517675","0.0-97.0-2.0","24","female","2330.399999976158","Confidence judgement (first response)","","","-1","-1","","","","right","79.75","50","79.75","false","38","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","308","518823","0.0-97.0-5.0-0.0","24","female","1147","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","309","519631","0.0-97.0-5.0-1.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","310","520857","0.0-97.0-6.0","24","female","1222.5","Confidence judgment (second response)","","","-1","-1","","","","right","79.75","50","79.75","false","39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","311","520861","0.0-98.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","1","13","28","300","262","38","right","79.75","false","2330.399999976158","3","yes","right","right","79.75","false","false","1222.5","","","","","",""
"","fixation","html-keyboard-response","312","521176","0.0-99.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","313","521687","0.0-99.0-1.0","24","female","null","[Dot display: left=261, right=300, diff=39]","null","","-1","-1","261","300","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","314","523057","0.0-99.0-2.0","24","female","1366.800000011921","Confidence judgement (first response)","","","-1","-1","","","","right","76.25","50","76.25","true","39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","315","524291","0.0-99.0-3.0-0.0","24","female","1231","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","316","525101","0.0-99.0-3.0-1.0-0.0","24","female","null","[advice: right]","null","","-1","-1","","","","","","","","","","","right","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","317","527858","0.0-99.0-6.0","24","female","2753.4000000059605","Confidence judgment (second response)","","","-1","-1","","","","right","98.25","50","98.25","true","38","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","318","527860","0.0-100.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","1","14","29","261","300","39","right","76.25","true","1366.800000011921","1","yes","right","right","98.25","true","true","2753.4000000059605","","","","","",""
"","block_message","html-button-response","319","529307","0.0-101.0","24","female","1444","block message","0","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","320","529551","0.0-102.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","321","530061","0.0-102.0-1.0","24","female","null","[Dot display: left=300, right=262, diff=38]","null","","-1","-1","300","262","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","322","532775","0.0-102.0-2.0","24","female","2709.800000011921","Confidence judgement (first response)","","","-1","-1","","","","left","74.75","74.75","50","true","38","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","323","533839","0.0-102.0-4.0-0.0","24","female","1063","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","324","534646","0.0-102.0-4.0-1.0","24","female","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","325","537259","0.0-102.0-6.0","24","female","2610","Confidence judgment (second response)","","","-1","-1","","","","left","99.5","99.5","50","true","38","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","326","537261","0.0-103.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","0","30","300","262","38","left","74.75","true","2709.800000011921","2","yes","left","left","99.5","true","true","2610","","","","","",""
"","fixation","html-keyboard-response","327","537581","0.0-104.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","328","538092","0.0-104.0-1.0","24","female","null","[Dot display: left=300, right=262, diff=38]","null","","-1","-1","300","262","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","329","540074","0.0-104.0-2.0","24","female","1979.300000011921","Confidence judgement (first response)","","","-1","-1","","","","right","88.5","50","88.5","false","39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","330","541191","0.0-104.0-4.0-0.0","24","female","1115","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","331","542001","0.0-104.0-4.0-1.0","24","female","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","332","544458","0.0-104.0-6.0","24","female","2454.4000000059605","Confidence judgment (second response)","","","-1","-1","","","","left","95.75","95.75","50","true","39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","333","544462","0.0-105.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","1","31","300","262","38","right","88.5","false","1979.300000011921","2","yes","left","left","95.75","true","true","2454.4000000059605","","","","","",""
"","fixation","html-keyboard-response","334","544786","0.0-106.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","335","545297","0.0-106.0-1.0","24","female","null","[Dot display: left=300, right=261, diff=39]","null","","-1","-1","300","261","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","336","547543","0.0-106.0-2.0","24","female","2242.800000011921","Confidence judgement (first response)","","","-1","-1","","","","left","69.75","69.75","50","true","38","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","337","549025","0.0-106.0-3.0-0.0","24","female","1480","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","338","549831","0.0-106.0-3.0-1.0-0.0","24","female","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","339","552393","0.0-106.0-6.0","24","female","2557.9000000059605","Confidence judgment (second response)","","","-1","-1","","","","left","99.5","99.5","50","true","38","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","340","552395","0.0-107.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","2","32","300","261","39","left","69.75","true","2242.800000011921","1","yes","left","left","99.5","true","true","2557.9000000059605","","","","","",""
"","fixation","html-keyboard-response","341","552736","0.0-108.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","342","553248","0.0-108.0-1.0","24","female","null","[Dot display: left=300, right=262, diff=38]","null","","-1","-1","300","262","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","343","555260","0.0-108.0-2.0","24","female","2008.5","Confidence judgement (first response)","","","-1","-1","","","","right","77.25","50","77.25","false","39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","344","556059","0.0-108.0-4.0-0.0","24","female","797","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","345","556867","0.0-108.0-4.0-1.0","24","female","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","346","558109","0.0-108.0-6.0","24","female","1237.0999999940395","Confidence judgment (second response)","","","-1","-1","","","","left","96","96","50","true","39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","347","558112","0.0-109.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","3","33","300","262","38","right","77.25","false","2008.5","2","yes","left","left","96","true","true","1237.0999999940395","","","","","",""
"","block_message","html-button-response","348","559526","0.0-110.0","24","female","1412","block message","0","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","349","560012","0.0-111.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","350","560521","0.0-111.0-1.0","24","female","null","[Dot display: left=300, right=261, diff=39]","null","","-1","-1","300","261","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","351","563392","0.0-111.0-2.0","24","female","2864.199999988079","Confidence judgement (first response)","","","-1","-1","","","","left","75.25","75.25","50","true","39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","352","564460","0.0-111.0-3.0-0.0","24","female","1066","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","353","565268","0.0-111.0-3.0-1.0-0.0","24","female","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","354","567327","0.0-111.0-6.0","24","female","2055.100000023842","Confidence judgment (second response)","","","-1","-1","","","","left","99","99","50","true","39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","355","567330","0.0-112.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","4","34","300","261","39","left","75.25","true","2864.199999988079","1","yes","left","left","99","true","true","2055.100000023842","","","","","",""
"","fixation","html-keyboard-response","356","567642","0.0-113.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","357","568153","0.0-113.0-1.0","24","female","null","[Dot display: left=300, right=261, diff=39]","null","","-1","-1","300","261","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","358","572042","0.0-113.0-2.0","24","female","3886.5999999940395","Confidence judgement (first response)","","","-1","-1","","","","right","83","50","83","false","39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","359","573509","0.0-113.0-5.0-0.0","24","female","1464","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","360","574318","0.0-113.0-5.0-1.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","361","575710","0.0-113.0-6.0","24","female","1388.5","Confidence judgment (second response)","","","-1","-1","","","","right","83","50","83","false","40","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","362","575713","0.0-114.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","5","35","300","261","39","right","83","false","3886.5999999940395","3","yes","left","right","83","true","false","1388.5","","","","","",""
"","attncheck","html-button-response","363","577793","0.0-115.0","24","female","2070","attncheck","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Continue","","","",""
"","fixation","html-keyboard-response","364","578027","0.0-116.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","365","578539","0.0-116.0-1.0","24","female","null","[Dot display: left=300, right=260, diff=40]","null","","-1","-1","300","260","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","366","580194","0.0-116.0-2.0","24","female","1652.0999999940395","Confidence judgement (first response)","","","-1","-1","","","","left","75","75","50","true","40","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","367","581077","0.0-116.0-5.0-0.0","24","female","881","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","368","581887","0.0-116.0-5.0-1.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","369","583027","0.0-116.0-6.0","24","female","1136.5999999940395","Confidence judgment (second response)","","","-1","-1","","","","left","75","75","50","true","39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","370","583029","0.0-117.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","6","36","300","260","40","left","75","true","1652.0999999940395","3","yes","left","left","75","true","true","1136.5999999940395","","","","","",""
"","fixation","html-keyboard-response","371","583378","0.0-118.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","372","583894","0.0-118.0-1.0","24","female","null","[Dot display: left=261, right=300, diff=39]","null","","-1","-1","261","300","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","373","585344","0.0-118.0-2.0","24","female","1446.2000000178814","Confidence judgement (first response)","","","-1","-1","","","","right","82.25","50","82.25","true","39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","374","586611","0.0-118.0-5.0-0.0","24","female","1264","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","375","587418","0.0-118.0-5.0-1.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","376","588393","0.0-118.0-6.0","24","female","972.2000000178814","Confidence judgment (second response)","","","-1","-1","","","","right","82.25","50","82.25","true","39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","377","588395","0.0-119.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","7","37","261","300","39","right","82.25","true","1446.2000000178814","3","yes","left","right","82.25","false","true","972.2000000178814","","","","","",""
"","attncheck","html-button-response","378","590778","0.0-120.0","24","female","2381","attncheck","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Continue","","","",""
"","fixation","html-keyboard-response","379","591003","0.0-121.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","380","591513","0.0-121.0-1.0","24","female","null","[Dot display: left=300, right=261, diff=39]","null","","-1","-1","300","261","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","381","593028","0.0-121.0-2.0","24","female","1512.5999999940395","Confidence judgement (first response)","","","-1","-1","","","","left","77.25","77.25","50","true","39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","382","594178","0.0-121.0-3.0-0.0","24","female","1148","[advice choice Y,N]","1","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","383","594988","0.0-121.0-3.0-2.0-0.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","384","596046","0.0-121.0-6.0","24","female","1054.4000000059605","Confidence judgment (second response)","","","-1","-1","","","","left","77.25","77.25","50","true","39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","385","596049","0.0-122.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","8","38","300","261","39","left","77.25","true","1512.5999999940395","1","no","left","left","77.25","true","true","1054.4000000059605","","","","","",""
"","block_message","html-button-response","386","597378","0.0-123.0","24","female","1327","block message","0","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","387","597692","0.0-124.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","388","598204","0.0-124.0-1.0","24","female","null","[Dot display: left=261, right=300, diff=39]","null","","-1","-1","261","300","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","389","600028","0.0-124.0-2.0","24","female","1821.0999999940395","Confidence judgement (first response)","","","-1","-1","","","","left","85.75","85.75","50","false","39","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","390","601828","0.0-124.0-3.0-0.0","24","female","1797","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","391","602637","0.0-124.0-3.0-1.0-0.0","24","female","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","392","603512","0.0-124.0-6.0","24","female","871.6999999880791","Confidence judgment (second response)","","","-1","-1","","","","left","85.75","85.75","50","false","40","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","393","603514","0.0-125.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","9","39","261","300","39","left","85.75","false","1821.0999999940395","1","yes","left","left","85.75","false","false","871.6999999880791","","","","","",""
"","attncheck","html-button-response","394","606345","0.0-126.0","24","female","2829","attncheck","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Continue","","","",""
"","fixation","html-keyboard-response","395","606678","0.0-127.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","396","607195","0.0-127.0-1.0","24","female","null","[Dot display: left=300, right=260, diff=40]","null","","-1","-1","300","260","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","397","609596","0.0-127.0-2.0","24","female","2397.9000000059605","Confidence judgement (first response)","","","-1","-1","","","","right","75.75","50","75.75","false","41","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","398","611213","0.0-127.0-4.0-0.0","24","female","1614","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","399","612023","0.0-127.0-4.0-1.0","24","female","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","400","613712","0.0-127.0-6.0","24","female","1686.199999988079","Confidence judgment (second response)","","","-1","-1","","","","left","85","85","50","true","40","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","401","613715","0.0-128.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","10","40","300","260","40","right","75.75","false","2397.9000000059605","2","yes","left","left","85","true","true","1686.199999988079","","","","","",""
"","fixation","html-keyboard-response","402","614079","0.0-129.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","403","614590","0.0-129.0-1.0","24","female","null","[Dot display: left=300, right=260, diff=40]","null","","-1","-1","300","260","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","404","616879","0.0-129.0-2.0","24","female","2286.7000000178814","Confidence judgement (first response)","","","-1","-1","","","","left","76","76","50","true","40","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","405","617613","0.0-129.0-5.0-0.0","24","female","732","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","406","618423","0.0-129.0-5.0-1.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","407","619080","0.0-129.0-6.0","24","female","652.4000000059605","Confidence judgment (second response)","","","-1","-1","","","","left","76","76","50","true","40","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","408","619085","0.0-130.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","11","41","300","260","40","left","76","true","2286.7000000178814","3","yes","left","left","76","true","true","652.4000000059605","","","","","",""
"","fixation","html-keyboard-response","409","619303","0.0-131.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","410","619819","0.0-131.0-1.0","24","female","null","[Dot display: left=260, right=300, diff=40]","null","","-1","-1","260","300","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","411","621631","0.0-131.0-2.0","24","female","1808.800000011921","Confidence judgement (first response)","","","-1","-1","","","","right","79.5","50","79.5","true","40","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","412","624014","0.0-131.0-4.0-0.0","24","female","2380","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","413","624824","0.0-131.0-4.0-1.0","24","female","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","414","627381","0.0-131.0-6.0","24","female","2551.199999988079","Confidence judgment (second response)","","","-1","-1","","","","left","86","86","50","false","41","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","415","627383","0.0-132.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","12","42","260","300","40","right","79.5","true","1808.800000011921","2","yes","left","left","86","false","false","2551.199999988079","","","","","",""
"","fixation","html-keyboard-response","416","627768","0.0-133.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","417","628280","0.0-133.0-1.0","24","female","null","[Dot display: left=300, right=259, diff=41]","null","","-1","-1","300","259","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","418","630129","0.0-133.0-2.0","24","female","1846.800000011921","Confidence judgement (first response)","","","-1","-1","","","","right","83.75","50","83.75","false","41","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","419","631381","0.0-133.0-5.0-0.0","24","female","1249","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","420","632189","0.0-133.0-5.0-1.0","24","female","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","421","633148","0.0-133.0-6.0","24","female","955.1000000238419","Confidence judgment (second response)","","","-1","-1","","","","right","83.75","50","83.75","false","42","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","422","633152","0.0-134.0","24","female","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","13","43","300","259","41","right","83.75","false","1846.800000011921","3","yes","left","right","83.75","true","false","955.1000000238419","","","","","",""
"","fixation","html-keyboard-response","423","633404","0.0-135.0-0.0","24","female","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","424","633916","0.0-135.0-1.0","24","female","null","[Dot display: left=258, right=300, diff=42]","null","","-1","-1","258","300","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","425","636131","0.0-135.0-2.0","24","female","2212","Confidence judgement (first response)","","","-1","-1","","","","left","78.5","78.5","50","false","42","","","","","","","","","","","","","","","","","","","","","","","","","",""
